item name,item number,price,stock
"Morris 15525 Aluminum Service Entrance Cap - Clamp on 2""",MOR_15525,13.4059,662
Hafele 504.20.900 Appliance Lift,HAF_50420900,367.93,114
Baldwin 5399003H New Mechanics Repair Kit H for Sectional &amp Escutcheon Handlesets with Lever Lifetime Brass Finish,BAL_5399003H,40.76,91
Arrow Lock R22-26D Lock Lock Parts,ARR_R2226D,15.56,1089
Hafele 833.95.786 6-Way Distributor,HAF_83395786,9.95,4197
Hafele 792.12.060 Double Hook,HAF_79212060,20.528,1295
"Morris 60291 Clear Packaging Tape 1.88"" x 109 Yds",MOR_60291,4.0303,4903
Hafele 833.72.382 Recess Mounted Housing Trim Ring for Loox LED 2025/2026,HAF_83372382,4.04,996
"Morris 20276 Ultraviolet Black Nylon Cable Ties 120LB 15""",MOR_20276,0.4693,154900
"Morris 36614 4"" Round Weatherproof Boxes - Five Holes 1/2"" Bronze",MOR_36614,11.3395,615
Morris 36512 Weatherproof Two Gang Box Extensions Rings Gray,MOR_36512,14.2768,7
"Morris 36210 Weatherproof Boxes - Two Gang 30.5 Cubic Inch Capacity - 3 Outlet Holes 1/2"" Gray",MOR_36210,13.0985,304
"Morris 14661 Steel Reducing Bushings 3/4"" x 1/2""",MOR_14661,0.5636,6441
Morris 19463 BX 1 Hole Pipe Straps 14/2 Thru 10/3 BX,MOR_19463,0.122,270136
"Morris 20285 Ultraviolet Black Nylon Cable Ties 175LB 24""",MOR_20285,0.8551,15200
"Morris 21826 Non-Metallic Liquid Tight Connectors - 90&deg 1-1/4""",MOR_21826,10.776,2741
Hafele 833.89.067 Extension lead,HAF_83389067,6.96,327
LCN 4040XP-18G US26 Door Closer Mounting Plates,LCN_4040XP18GUS26,253.26,3
LCN 4010-18 US4 Door Closer Mounting Plates,LCN_401018US4,253.26,2
"Smedbo FK492EP Shaving/Make-up Mirror, Chrome",SME_FK492EP,685.30,11
Morris 01184 Vinyl Insulated Butt Splices 25 Pack - 16-14 Wire,MOR_01184,0.1939,3725
LCN 4040XP-18TJ US10 Door Closer Mounting Plates,LCN_4040XP18TJUS10,253.26,10
LCN 4040XP-30 US4 Door Closer Parts,LCN_4040XP30US4,99.79,4
"HES 310-6-8(P)-F-12D-612 Electric Strike, Complete Pack for only active leaf, Fail Safe, 12V, Satin Bronze",HES_31068PF12D612,998.05,15176151
"Morris 01324 Vinyl Insulated Female Disconnects 25 Pack - 16-14 Wire, .250x.032 Tab",MOR_01324,0.1741,25325
"Smedbo RV342P Holder with Soap Dish, Polished Brass",SME_RV342P,75.60,3
"Smedbo RV343P Holder with Tumbler, Polished Brass",SME_RV343P,75.60,4
HES 73224D613LBMLCM 24VDC Electric Strike with LBMLCM Latchbolt Monitor Oil Rubbed Bronze Finish,HES_73224D613LBMLCM,745.28,15176151
"Smedbo FK404 Shower Seat, Chromed",SME_FK404,427.70,6
"Smedbo B1103 Triple Hook, Brushed Stainless Steel Self-adhesive",SME_B1103,32.90,12
"Smedbo B1106 Design Double Towel hook, Brushed Stainless Steel Self-adhesive",SME_B1106,21.70,19
Baldwin 8BR0707007 Passage / Privacy Knob / Lever Thick Door Kit Dark Bronze Finish,BAL_8BR0707007,3.71,6
HES 7427524D612 75 24VDC Electric Strike Satin Bronze Finish,HES_7427524D612,701.44,15176151
"Smedbo BK1082 Single Hook mini, Self-adhesive, Chromed Stainless",SME_BK1082,6.30,12
"Smedbo OK333P Toilet Brush, Chrome",SME_OK333P,156.80,3
"Smedbo BK1081 Design Double Hook mini, Polished Stainless Steel Self-adhesive",SME_BK1081,14.70,6
