item name,item number,price,stock
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Baldwin 0465190 Edge Pull Satin Black Finish,BAL_0465190,13.58,29
N/A,N/A,N/A,N/A
"Smedbo FK492EP Shaving/Make-up Mirror, Chrome",SME_FK492EP,685.30,11
Morris 01184 Vinyl Insulated Butt Splices 25 Pack - 16-14 Wire,MOR_01184,0.1939,3725
LCN 4040XP-30 US4 Door Closer Parts,LCN_4040XP30US4,99.79,4
"HES 310-6-8(P)-F-12D-612 Electric Strike, Complete Pack for only active leaf, Fail Safe, 12V, Satin Bronze",HES_31068PF12D612,998.05,15176151
"Morris 01324 Vinyl Insulated Female Disconnects 25 Pack - 16-14 Wire, .250x.032 Tab",MOR_01324,0.1741,25325
Hafele 792.12.060 Double Hook,HAF_79212060,20.528,1295
"Morris 15525 Aluminum Service Entrance Cap - Clamp on 2""",MOR_15525,13.4059,662
Morris 36512 Weatherproof Two Gang Box Extensions Rings Gray,MOR_36512,14.2768,7
Hafele 504.20.900 Appliance Lift,HAF_50420900,367.93,114
Hafele 833.72.382 Recess Mounted Housing Trim Ring for Loox LED 2025/2026,HAF_83372382,4.04,996
N/A,N/A,N/A,N/A
Hafele 833.95.786 6-Way Distributor,HAF_83395786,9.95,4197
Arrow Lock R22-26D Lock Lock Parts,ARR_R2226D,15.56,1089
"Morris 60291 Clear Packaging Tape 1.88"" x 109 Yds",MOR_60291,4.0303,4903
N/A,N/A,N/A,N/A
"Morris 20276 Ultraviolet Black Nylon Cable Ties 120LB 15""",MOR_20276,0.4693,154900
"Morris 21826 Non-Metallic Liquid Tight Connectors - 90&deg 1-1/4""",MOR_21826,10.776,2741
Morris 19463 BX 1 Hole Pipe Straps 14/2 Thru 10/3 BX,MOR_19463,0.122,270136
"Morris 14661 Steel Reducing Bushings 3/4"" x 1/2""",MOR_14661,0.5636,6441
"Morris 36210 Weatherproof Boxes - Two Gang 30.5 Cubic Inch Capacity - 3 Outlet Holes 1/2"" Gray",MOR_36210,13.0985,304
"Morris 36614 4"" Round Weatherproof Boxes - Five Holes 1/2"" Bronze",MOR_36614,11.3395,615
"Morris 20285 Ultraviolet Black Nylon Cable Ties 175LB 24""",MOR_20285,0.8551,15200
Hafele 833.89.067 Extension lead,HAF_83389067,6.96,327
Hafele 010.71.943 Zip-R Screw,HAF_01071943,0.0192,752000
"Baldwin 5002031 1-3/4"" Passage Rose Unlacquered Brass Finish",BAL_5002031,51.87,66
LCN 4010-18 US4 Door Closer Mounting Plates,LCN_401018US4,253.26,2
LCN 4040XP-18G US26 Door Closer Mounting Plates,LCN_4040XP18GUS26,253.26,3
LCN 4040XP-18TJ US10 Door Closer Mounting Plates,LCN_4040XP18TJUS10,253.26,10
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
Kwikset 730TNL-514 Tustin Privacy Door Lock with RCAL Latch and RCS Strike Iron Black Finish,KWI_730TNL514,38.61,603
N/A,N/A,N/A,N/A
Baldwin 5399003H New Mechanics Repair Kit H for Sectional &amp Escutcheon Handlesets with Lever Lifetime Brass Finish,BAL_5399003H,40.76,91
Kwikset 720TNL-514 Tustin Passage Door Lock with RCAL Latch and RCS Strike Iron Black Finish,KWI_720TNL514,36.72,692
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
N/A,N/A,N/A,N/A
